CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
421 - PADANG;421 - PADANG;ADA TRANSAKSI;QRIS;0;0;1;0;0;1;1;0;3;21;19;23;0;3;7;4;1;1
421 - PADANG;421 - PADANG;TIDAK BERTRANSAKSI;QRIS;1;0;1;0;0;0;1;1;2;2;5;2;1;3;2;0;2;5
421 - PADANG;422 - KCP BUKITTINGGI;ADA TRANSAKSI;QRIS;1;0;1;1;2;1;1;0;1;2;4;2;0;2;5;5;1;2
421 - PADANG;422 - KCP BUKITTINGGI;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;2;3
421 - PADANG;423 - KCP PAYAKUMBUH;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;6;0;0;0;1;0;0;1;0;2;4;3
421 - PADANG;423 - KCP PAYAKUMBUH;TIDAK BERTRANSAKSI;QRIS;0;0;0;1;0;1;1;0;0;0;0;0;1;1;3;1;3;2
421 - PADANG;424 - KCP SOLOK;ADA TRANSAKSI;QRIS;0;0;0;0;1;0;1;0;0;0;4;4;0;1;0;2;1;3
421 - PADANG;424 - KCP SOLOK;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;1
431 - BENGKULU;431 - BENGKULU;ADA TRANSAKSI;QRIS;0;2;2;0;0;3;1;0;0;2;9;15;2;3;3;11;13;7
431 - BENGKULU;431 - BENGKULU;TIDAK BERTRANSAKSI;QRIS;0;2;0;0;0;0;2;0;0;0;0;3;1;0;1;3;1;2
431 - BENGKULU;432 - KCP CURUP;ADA TRANSAKSI;QRIS;2;1;0;1;1;1;0;0;0;2;4;0;0;4;8;14;15;6
431 - BENGKULU;432 - KCP CURUP;TIDAK BERTRANSAKSI;QRIS;0;1;0;0;1;0;0;1;2;4;2;2;1;2;2;2;2;1
431 - BENGKULU;441 - JAMBI;ADA TRANSAKSI;QRIS;0;0;1;0;0;0;0;0;0;0;3;5;1;5;6;11;13;5
431 - BENGKULU;441 - JAMBI;TIDAK BERTRANSAKSI;QRIS;0;0;1;0;0;0;0;0;2;2;3;0;0;0;0;0;0;0
431 - BENGKULU;442 - KCP MUARA BUNGO;ADA TRANSAKSI;QRIS;0;3;0;0;0;0;0;0;0;7;6;4;0;1;2;9;6;4
431 - BENGKULU;442 - KCP MUARA BUNGO;TIDAK BERTRANSAKSI;QRIS;0;0;2;0;1;0;0;0;0;0;0;2;0;2;5;5;2;4
221 - PEKANBARU;451 - TANJUNG PINANG;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;2;3
221 - PEKANBARU;451 - TANJUNG PINANG;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;4;4
482 - MEDAN BARU;467 - KCP STABAT;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;3;4
482 - MEDAN BARU;467 - KCP STABAT;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;3;2
431 - BENGKULU;473 - KCP MANNA BENGKULU;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;1;2;1;0;1;1;3;6;2
431 - BENGKULU;473 - KCP MANNA BENGKULU;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
431 - BENGKULU;474 - KCP ARGA MAKMUR;ADA TRANSAKSI;QRIS;0;0;0;1;0;2;0;1;0;0;3;4;1;3;4;14;19;9
431 - BENGKULU;474 - KCP ARGA MAKMUR;TIDAK BERTRANSAKSI;QRIS;0;0;0;1;0;0;0;0;0;0;2;0;1;2;2;2;7;3
482 - MEDAN BARU;482 - MEDAN BARU;ADA TRANSAKSI;QRIS;1;0;0;0;0;2;2;1;0;1;2;0;0;2;9;3;10;5
482 - MEDAN BARU;482 - MEDAN BARU;TIDAK BERTRANSAKSI;QRIS;1;0;0;0;0;0;0;0;0;1;2;2;0;4;4;8;12;8
371 - PANGKAL PINANG;495 - KCP KOBA;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;1;1;2;1;1;2;0;1;3;2;4;1
371 - PANGKAL PINANG;495 - KCP KOBA;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;7;0;0;0;1;2;2;1;0
421 - PADANG;422 - KCP BUKITTINGGI;Tabungan;QRIS;61.125;59.773;54.704;58.820;57.296;56.851;55.841;53.591;57.856;60.855;58.234;55.253;50.766;49.477;51.018;52.065;52.287;52.833
421 - PADANG;423 - KCP PAYAKUMBUH;Deposito;QRIS;57.024;61.587;52.806;54.328;54.384;56.710;58.424;55.609;54.969;54.616;52.059;68.741;51.441;50.149;44.161;41.778;42.737;45.166
421 - PADANG;423 - KCP PAYAKUMBUH;Giro;QRIS;12.204;11.913;8.494;7.929;5.984;6.069;7.815;7.338;10.859;13.581;14.909;17.993;17.029;15.159;16.514;14.083;12.675;12.359
421 - PADANG;423 - KCP PAYAKUMBUH;Tabungan;QRIS;39.608;40.297;42.829;44.687;43.522;45.469;43.271;42.099;43.553;45.766;54.758;50.852;48.040;41.035;39.267;41.411;45.860;45.481
421 - PADANG;424 - KCP SOLOK;Deposito;QRIS;19.782;16.669;14.641;14.742;14.303;14.187;14.124;12.964;14.518;14.594;14.549;16.890;17.815;17.539;15.384;15.413;16.846;18.729
421 - PADANG;424 - KCP SOLOK;Giro;QRIS;979;990;1.009;1.172;1.232;1.196;890;789;451;344;468;1.317;990;1.448;1.113;1.149;1.078;1.111
421 - PADANG;424 - KCP SOLOK;Tabungan;QRIS;28.771;24.555;24.138;25.067;25.462;27.988;29.875;30.059;28.342;29.017;29.424;38.585;36.937;33.783;37.755;37.062;34.131;35.061
431 - BENGKULU;431 - BENGKULU;Deposito;QRIS;42.370;41.740;53.132;52.870;50.195;50.370;51.936;52.278;58.262;56.012;40.142;52.558;50.737;49.204;48.757;58.320;56.599;56.651
431 - BENGKULU;431 - BENGKULU;Giro;QRIS;17.819;23.206;18.953;16.562;16.624;15.660;14.555;18.796;18.330;14.834;27.893;10.083;10.043;19.912;20.683;18.323;17.862;17.865
431 - BENGKULU;431 - BENGKULU;Tabungan;QRIS;82.375;84.793;84.481;83.319;83.057;82.642;81.965;80.519;81.939;84.599;86.668;89.519;83.654;81.020;82.301;82.894;82.960;82.497
431 - BENGKULU;432 - KCP CURUP;Deposito;QRIS;23.299;25.930;28.649;27.644;26.354;28.732;29.115;53.764;55.600;58.601;59.147;43.342;42.729;42.113;42.025;42.222;39.879;37.961
431 - BENGKULU;432 - KCP CURUP;Giro;QRIS;23.132;22.407;24.017;23.777;23.479;25.310;28.531;4.326;3.956;2.752;3.205;4.007;8.079;8.089;7.858;3.753;3.079;2.234
431 - BENGKULU;432 - KCP CURUP;Tabungan;QRIS;70.818;68.908;67.058;67.714;67.840;67.405;68.241;69.113;74.595;69.638;71.113;74.872;74.396;72.031;74.195;71.565;71.150;72.581
431 - BENGKULU;441 - JAMBI;Deposito;QRIS;31.242;32.543;28.063;25.518;25.027;24.023;24.861;25.222;25.278;24.462;24.271;24.362;25.107;23.632;23.510;24.015;24.085;23.079
431 - BENGKULU;441 - JAMBI;Giro;QRIS;5.869;5.760;4.556;5.279;7.789;8.055;8.513;7.199;7.308;6.628;6.059;5.314;4.940;5.215;7.458;6.423;8.181;7.673
431 - BENGKULU;441 - JAMBI;Tabungan;QRIS;72.844;68.503;70.453;70.612;69.557;70.420;68.471;66.640;67.273;65.408;67.086;66.199;64.789;62.582;62.675;62.820;63.247;64.037
431 - BENGKULU;442 - KCP MUARA BUNGO;Deposito;QRIS;8.296;7.966;9.815;9.990;9.846;10.621;10.753;10.419;10.759;11.422;11.145;12.557;12.615;12.318;12.189;12.657;13.220;12.043
431 - BENGKULU;442 - KCP MUARA BUNGO;Giro;QRIS;406;434;237;316;467;558;664;434;517;395;472;527;290;397;359;609;500;675
