CO-BRANCH;OFFICE;;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
351 - LAMPUNG;353 - KCP METRO LAMPUNG;KCP METRO LAMPUNG;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0; 12.000.000 ; 15.000.000 ;0;0; -   ; -   ; -   ; 28.500.000 
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;KCP ZA PAGAR ALAM LAMPUNG;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0; 20.000.000 ; 30.000.000 ;0; 20.000.000 ;0; -   ; -   ; -   ; -   
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;KCP ZA PAGAR ALAM LAMPUNG;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; 60.368.621 ; -   ; -   
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;KCP ZA PAGAR ALAM LAMPUNG;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;KCP ZA PAGAR ALAM LAMPUNG;SAHAJA;Distribusi;0;0;0;0;0;0;0;0; 7.500.000 ;0;0; 7.500.000 ;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;KCP KOTABUMI LAMPUNG;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 50.000.000 ; 32.000.000 ;0;0; 60.000.000 ; -   ; 40.000.000 ; 20.000.000 ; 45.000.000 
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;KCP KOTABUMI LAMPUNG;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;KCP KOTABUMI LAMPUNG;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;KCP KOTABUMI LAMPUNG;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0; 12.000.000 ; 12.000.000 ;0;0; -   ; -   ; -   ; 15.000.000 
361 - PALEMBANG;361 - PALEMBANG;PALEMBANG;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0; 86.000.000 ; 100.000.000 ; 120.000.000 ; 25.000.000 ; 40.000.000 ; 16.000.000 ; 132.500.000 ; -   ; 25.000.000 
361 - PALEMBANG;361 - PALEMBANG;PALEMBANG;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;361 - PALEMBANG;PALEMBANG;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0; 12.592.800 ;0;0;0;0;0; -   ; 6.801.600 ; -   ; -   
361 - PALEMBANG;361 - PALEMBANG;PALEMBANG;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0; 7.500.000 ;0; 15.000.000 ;0;0; -   ; -   ; 7.500.000 ; -   
361 - PALEMBANG;366 - KCP PLAJU;KCP PLAJU;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 41.000.000 ; 100.000.000 ; 16.000.000 ;0;0; 16.000.000 ; -   ; 32.000.000 ; -   
361 - PALEMBANG;366 - KCP PLAJU;KCP PLAJU;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0; 46.947.600 ;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;366 - KCP PLAJU;KCP PLAJU;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0; 12.592.800 ;0; -   ; 1.658.800 ; -   ; -   
361 - PALEMBANG;366 - KCP PLAJU;KCP PLAJU;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0;0; 12.000.000 ;0;0; -   ; 15.000.000 ; 18.750.000 ; -   
371 - PANGKAL PINANG;371 - PANGKAL PINANG;PANGKAL PINANG;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 51.000.000 ; 25.000.000 ;0;0; 40.000.000 ; 60.000.000 ; 20.000.000 ; 41.000.000 ; 45.000.000 
